"Date","Share Code","Last Transaction Price (GHS)","Total Value Traded","Total Shares Traded","Closing Offer Price (GHS)","Closing Bid Price (GHS)","Price Change (GHS)","Closing Price VWAP (GHS)","Opening Price (GHS)","Previous Closing Price VWAP (GHS)","Year Low (GHS)","Year High (GHS)"
"2007-06-25","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-06-26","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-06-27","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-06-28","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-06-29","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-03","ABL","0","","5000","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-04","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-05","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-06","ABL","0","","200","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-09","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-10","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-11","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-12","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-13","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-16","ABL","0","","200","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-19","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-20","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-23","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-25","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-26","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-27","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-30","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-07-31","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-01","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-02","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-03","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-06","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-07","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-08","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-09","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-10","ABL","0","","1000","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-13","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-14","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-15","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-16","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-20","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-21","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-22","ABL","0","","400","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-08-23","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-27","ABL","0","","500","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-28","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-29","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-30","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-08-31","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-03","ABL","0","","500","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-04","ABL","0","","500","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-05","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-06","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-07","ABL","0","","200","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-10","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-11","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-12","ABL","0","","200","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-13","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-14","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-19","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-20","ABL","0","","2200","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-21","ABL","0","","200","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-25","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-26","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-27","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-09-28","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-01","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-02","ABL","0","","400","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-03","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-04","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-05","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-08","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-09","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-10","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-11","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-12","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-16","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-19","ABL","0","","400","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-22","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-23","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-25","ABL","0","","1800","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-26","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-29","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-30","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-10-31","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-01","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-02","ABL","0","","0","0.0000","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-05","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-06","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-07","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-08","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-12","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-13","ABL","0","","0","","","","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-14","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-15","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-16","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-19","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-20","ABL","0","","400","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-21","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-22","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-23","ABL","0","","100","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-26","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-27","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-28","ABL","0","","100","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-29","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-11-30","ABL","0","","1000","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-03","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-04","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-05","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-06","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-10","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-11","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-12","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-13","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-14","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-20","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-21","ABL","0","","100","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-27","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-28","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2007-12-31","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-02","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-03","ABL","0","","100","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-04","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-07","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-08","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-09","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-10","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-11","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-14","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-15","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-16","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-17","ABL","0","","","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-21","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-22","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-23","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-24","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-25","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-28","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-29","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-30","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-01-31","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-01","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-04","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-05","ABL","0","","0","","","","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-06","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-07","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-08","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-11","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-12","ABL","0","","1600","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-13","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-14","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-15","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-19","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-20","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-21","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-22","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-25","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-26","ABL","0","","200","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-27","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-28","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-02-29","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-03","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-04","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-05","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-07","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-10","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-11","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-12","ABL","0","","0","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-13","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-14","ABL","0","","0","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-18","ABL","0","","0","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-19","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-20","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-25","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-26","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-27","ABL","0","","100","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-28","ABL","0","","200","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-03-31","ABL","0","","0","","0.1150","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-01","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-02","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-03","ABL","0","","0","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-04","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-07","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-08","ABL","0","","13900","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-09","ABL","0","","0","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-10","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-11","ABL","0","","1500","0.1150","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-14","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-16","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-17","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-18","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-21","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-22","ABL","0","","0","0.1150","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-23","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-24","ABL","0","","1000","0.0000","0.0000","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
"2008-04-25","ABL","0","","0","","","0.0000","0.1150","0.1150","0.1150","0.1150","0.1150"
